"Occurrences","Word","LgSUBTLWF","OLD","PLD","I_Mean_RT","I_Zscore","I_Mean_Accuracy"
"1","ceramics","1.477","3.350","3.150","746.387","0.025","0.94"
"1","cereal","2.512","2.050","1.800","649.879","-0.474","1.00"
"1","cerebral","2.017","2.800","3.450","776.690","0.043","0.85"
"1","ceremonial","1.851","3.700","4.050","837.633","0.200","0.91"
"1","ceremony","2.907","3.550","3.500","743.636","-0.269","0.97"
"1","certainty","2.190","3.250","3.050","732.839","-0.034","0.97"
"1","certifiable","1.613","4.050","5.800","977.586","0.386","0.91"
"1","certificate","2.662","4.200","4.550","831.533","-0.048","0.97"
"1","certified","2.143","2.650","2.850","681.059","-0.404","1.00"
"1","certify","1.415","2.600","2.750","845.323","0.052","0.94"
"1","cervical","1.556","2.850","2.950","832.323","0.069","0.91"
"1","cervix","1.342","2.950","2.750","749.552","-0.178","0.85"
"1","chairman","2.783","2.800","2.850","639.719","-0.462","1.00"
"1","chalet","1.431","2.000","1.800","726.542","-0.135","0.75"
"1","chalice","1.518","2.650","2.250","818.190","0.308","0.68"
"1","challenger","1.892","3.450","3.500","734.129","-0.164","0.94"
"1","chambermaid","1.505","4.300","5.050","822.387","0.202","0.94"
"1","chameleon","1.580","3.800","2.900","861.071","0.128","0.90"
"1","champ","2.888","1.600","1.650","666.353","-0.506","0.97"
"1","champagne","3.203","3.600","2.600","774.182","-0.155","0.94"
"1","championship","2.700","5.100","5.200","777.909","-0.072","1.00"
